Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time,RollingAverageMag,RollingAveragePhase
1,50.3057,7.48421,178.38,0,1700566322,48.987674,7.3387563
1,50.3057,7.48421,178.365,0,1700566322,48.987674,7.3387563
1,50.3057,15.2934,178.35750000000002,0,1700566322,48.987674,7.3387563
1,45.4469,8.71684,178.35375,0,1700566322,48.987674,7.3387563
1,53.9182,7.34791,178.351875,0,1700566322,48.987674,7.3387563
1,57.7307,6.50046,178.3509375,0,1700566322,48.987674,7.3387563
1,56.5767,6.16784,178.35046875,0,1700566322,48.987674,7.3387563
1,52.4364,6.57106,178.350234375,0,1700566322,48.987674,7.3387563
1,47.763,6.22476,178.35011718750002,0,1700566322,48.987674,7.3387563
1,42.9718,5.72368,178.35005859375002,0,1700566322,48.987674,7.3387563
1,39.995,6.6966,178.350029296875,0,1700566322,48.987674,7.3387563
1,45.3344,7.98842,178.35001464843748,0,1700566322,48.987674,7.3387563
1,55.3318,9.71703,178.35000732421872,0,1700566322,48.987674,7.3387563
1,57.4405,10.8191,178.35000366210937,0,1700566322,48.987674,7.3387563
1,52.6239,9.4703,178.35000183105467,0,1700566322,48.987674,7.3387563
1,53.1678,8.75609,178.35000091552735,0,1700566322,48.987674,7.3387563
1,57.6816,9.54767,178.35000045776366,0,1700566322,48.987674,7.3387563
1,54.676,8.94452,178.3500002288818,0,1700566322,48.987674,7.3387563
1,45.8324,7.41804,178.3500001144409,0,1700566322,48.987674,7.3387563
1,40.9211,9.39735,178.35000005722043,0,1700566322,48.987674,7.3387563
1,45.6284,13.6105,178.35000002861022,0,1700566322,48.987674,7.3387563
1,53.6255,11.4941,178.35000001430512,0,1700566322,48.987674,7.3387563
1,53.394,4.53838,178.35000000715257,0,1700566322,48.987674,7.3387563
1,50.1573,1.89628,178.35000000357627,0,1700566322,48.987674,7.3387563
1,51.7392,4.5224,178.35000000178815,0,1700566322,48.987674,7.3387563
1,51.4893,7.24778,178.35000000089406,0,1700566322,48.987674,7.3387563
1,47.0439,6.96557,178.35000000044704,0,1700566322,48.987674,7.3387563
1,43.7241,5.75997,178.35000000022353,0,1700566322,48.987674,7.3387563
1,41.369,5.10832,178.35000000011178,0,1700566322,48.987674,7.3387563
1,39.3936,4.69552,178.3500000000559,0,1700566322,48.987674,7.3387563
1,42.0092,4.9551,178.35000000002793,0,1700566322,48.987674,7.3387563
1,48.5334,4.10337,178.35000000001395,0,1700566322,48.987674,7.3387563
1,52.5364,2.04385,178.35000000000696,0,1700566322,48.987674,7.3387563
1,49.8459,3.07365,178.3500000000035,0,1700566322,48.987674,7.3387563
1,45.3573,7.90477,178.35000000000173,0,1700566322,48.987674,7.3387563
1,44.7252,9.87633,178.35,0,1700566322,48.987674,7.3387563
1,45.4018,6.77803,178.345,0,1700566322,48.987674,7.3387563
1,48.0117,4.37526,178.3425,0,1700566322,48.987674,7.3387563
1,51.1516,3.91321,178.34125,0,1700566322,48.987674,7.3387563
1,49.9373,4.48009,178.340625,0,1700566322,48.987674,7.3387563
1,47.3722,6.25897,178.34031249999998,0,1700566322,48.987674,7.3387563
1,45.9894,6.09863,178.34015625,0,1700566322,48.987674,7.3387563
1,45.4905,4.18467,178.340078125,0,1700566322,48.987674,7.3387563
1,47.4908,3.34164,178.3400390625,0,1700566322,48.987674,7.3387563
1,50.9195,3.42985,178.34001953125,0,1700566322,48.987674,7.3387563
1,51.3234,4.56836,178.34000976562498,0,1700566322,48.987674,7.3387563
1,47.3781,5.39692,178.34000488281248,0,1700566322,48.987674,7.3387563
1,43.299,4.15353,178.34000244140623,0,1700566322,48.987674,7.3387563
1,41.8857,4.88703,178.34000122070313,0,1700566322,48.987674,7.3387563
1,44.158,9.98132,178.34000061035158,0,1700566322,48.987674,7.3387563
1,48.359,12.9517,178.3400003051758,0,1700566322,48.987674,7.3387563
1,49.522,11.8709,178.3400001525879,0,1700566322,48.987674,7.3387563
1,48.7907,11.5004,178.34000007629396,0,1700566322,48.987674,7.3387563
1,48.5849,10.568,178.34000003814697,0,1700566322,48.987674,7.3387563
1,48.8632,8.12754,178.3400000190735,0,1700566322,48.987674,7.3387563
1,50.1158,7.2422,178.34000000953677,0,1700566322,48.987674,7.3387563
1,47.1221,8.16972,178.3400000047684,0,1700566322,48.987674,7.3387563
1,40.4725,9.58248,178.34000000238422,0,1700566322,48.987674,7.3387563
1,42.2379,9.56382,178.3400000011921,0,1700566322,48.987674,7.3387563
1,52.332,7.87084,178.34000000059604,0,1700566322,48.987674,7.3387563
1,58.9349,6.01154,178.340000000298,0,1700566322,48.987674,7.3387563
1,58.9924,6.64549,178.34000000014902,0,1700566322,48.987674,7.3387563
1,56.2104,10.5812,178.3400000000745,0,1700566322,48.987674,7.3387563
1,53.7122,12.5883,178.34000000003726,0,1700566322,48.987674,7.3387563
1,53.592,12.2286,178.34000000001862,0,1700566322,48.987674,7.3387563
1,52.8173,12.3113,178.3400000000093,0,1700566322,48.987674,7.3387563
1,47.7436,9.50833,178.34000000000464,0,1700566322,48.987674,7.3387563
1,42.0401,4.33334,178.3400000000023,0,1700566322,48.987674,7.3387563
1,41.3268,1.68834,178.34000000000117,0,1700566322,48.987674,7.3387563
1,45.0642,3.27799,178.3400000000006,0,1700566322,48.987674,7.3387563
1,47.2439,7.05611,178.34,0,1700566322,48.987674,7.3387563
1,45.7409,8.26152,178.32,0,1700566322,48.987674,7.3387563
1,46.4207,6.50348,178.31,0,1700566322,48.987674,7.3387563
1,49.9653,5.10387,178.305,0,1700566322,48.987674,7.3387563
1,50.5982,4.54679,178.3025,0,1700566322,48.987674,7.3387563
1,51.8134,5.03731,178.30125,0,1700566322,48.987674,7.3387563
1,55.9347,6.38903,178.30062500000003,0,1700566322,48.987674,7.3387563
1,54.858,7.92843,178.30031250000002,0,1700566322,48.987674,7.3387563
1,49.4051,11.1896,178.30015625000001,0,1700566322,48.987674,7.3387563
1,47.503,13.8643,178.30007812500003,0,1700566322,48.987674,7.3387563
1,48.3142,11.1897,178.30003906250002,0,1700566322,48.987674,7.3387563
1,47.9999,5.44703,178.30001953125003,0,1700566322,48.987674,7.3387563
1,47.2123,3.25182,178.30000976562502,0,1700566322,48.987674,7.3387563
1,48.5811,5.62522,178.30000488281252,0,1700566322,48.987674,7.3387563
1,51.2765,6.96836,178.30000244140626,0,1700566322,48.987674,7.3387563
1,49.7655,5.60541,178.30000122070314,0,1700566322,48.987674,7.3387563
1,44.7371,5.00702,178.30000061035156,0,1700566322,48.987674,7.3387563
1,45.4462,4.99263,178.3000003051758,0,1700566322,48.987674,7.3387563
1,51.1845,4.13903,178.3000001525879,0,1700566322,48.987674,7.3387563
1,52.747,3.35347,178.30000007629394,0,1700566322,48.987674,7.3387563
1,51.3103,2.99178,178.30000003814698,0,1700566322,48.987674,7.3387563
1,51.3145,3.8214,178.30000001907348,0,1700566322,48.987674,7.3387563
1,49.6806,7.32948,178.30000000953675,0,1700566322,48.987674,7.3387563
1,46.8685,10.3426,178.30000000476838,0,1700566322,48.987674,7.3387563
1,46.967,8.37776,178.3000000023842,0,1700566322,48.987674,7.3387563
1,46.8568,6.39256,178.3000000011921,0,1700566322,48.987674,7.3387563
